,Distance from Surface [nm],Curvature [Hz/V^2],Curvature std [Hz/V^2],Surface Potential [V],Surface Potential std [V],Dissipation Amplitude [pNs/(V^2 m)],Dissipation Amplitude std [pNs/(V^2 m)],Dissipation Ringdown [pNs/(V^2 m)],Dissipation Ringdown std [pNs/(V^2 m)],C2 [F/m^2],Electric Field Fluctuation [V^2/m^2 Hz]
0,37.5,12.548677710633934,0.5033682701466234,-0.7075408555383553,0.017607683201350224,14.575998981337367,22.58266507686585,13.789643256935273,2.0979782796938884,0.002264556827080548,735.3390972468403
1,40.5,9.644799316993032,0.25323639531196696,-0.6925675267770488,0.016821044430027306,-1.50658872477899e-05,0.232612464453356,10.385731485871704,2.0604742818287325,0.0017405177376266367,-0.0007834219119794841
2,43.5,7.194810173920638,0.20174683076136896,-0.6680470147679842,0.017535428509404177,11.39502311578528,0.5184331922682275,7.474443176288947,1.7992755983938256,0.0012983883142598835,609.1767297012128
3,46.5,7.4979819275531545,0.17009590192827373,-0.6407240529768129,0.00959658657268326,-3.934934302150805e-05,0.5838875529733685,11.676013162935911,2.295322486519472,0.001353099231242372,-0.0014406687905266838
4,49.5,5.519481775074628,0.012767072786524988,-0.5717088118104771,0.0024567171298250255,23.664683091141242,19.411264561108137,9.810579004139516,2.7771794016940077,0.0009960555545306517,1328.5574979427834
5,52.5,5.582288970930269,0.07120561316828852,-0.6076058462608234,0.010639630570700291,-1.0414122418822584e-05,0.09521010089439454,1.5646645433390163,1.8396132914671308,0.0010073898534459986,-0.0005975178376859765
6,55.5,4.56526128819422,0.060349266253395685,-0.5691892359122228,0.010661886666638242,-1.6177851011411888e-05,0.1406478749075256,4.892725895487512,0.9749415994890914,0.0008238552185323826,-0.0009471782684893601
7,58.5,4.4338194759700205,0.05661344192401861,-0.5647769561170705,0.01025869272797665,3.6502908641366747,1.0229495502887533,2.3982098608520466,0.7384252137377497,0.0008001349939716776,217.78465252223432
8,61.5,3.801422998448931,0.029397254914977616,-0.5551037453633506,0.006160775010446258,4.032288421542612,0.4605223221987233,1.218086312866735,1.0030312326846578,0.0006860115943900235,244.85444174643723
9,64.5,3.8715711374808253,0.04826482024561118,-0.5674219516009479,0.010039027578139764,-5.3454081294668835e-06,0.11285062883834798,3.1483452721849137,1.0571006622180483,0.000698670653042638,-0.00033000037021210343
10,67.5,3.047683837688813,0.04018869018609765,-0.5426910309050059,0.010391949387743618,-3.640107473093152e-05,0.3120380280725286,-0.20485155078581221,0.7865972346213791,0.0005499904771299278,-0.0022823973609431007
11,70.5,3.272396514015914,0.08311029624817397,-0.5494154626379869,0.02013311266889179,1.0225558578108371,1.166309740611974,0.11297216447258052,1.0471851488897397,0.0005905425286721272,65.05995976685391
12,73.5,3.1276996898126295,0.0874599861691203,-0.5241426088427641,0.02238689631492314,2.346690429192535,1.1766519162573743,0.5934791264535905,1.2391623899093978,0.0005644302809387469,151.38170212847973
13,76.5,2.6144456300478107,0.0315037387650272,-0.5460124967357485,0.009523239803359201,-2.756043776078955e-05,0.32607485233035755,0.05344907132010807,2.2775607147835726,0.0004718075351906205,-0.0018012185807242816
14,79.5,2.609333209307619,0.07650231909391436,-0.5157519676821193,0.01600023326907727,0.09452077594223918,0.9210675912932222,-3.0579725850842276,1.3805175680605977,0.0004708849385986068,6.2541660875977865
15,82.5,2.4875181198678717,0.02949899589783942,-0.4902925016266477,0.008928904433548867,2.6270607124508842,0.38143281202388246,1.5959741970572716,1.0848318681161029,0.0004489019696521303,175.87226024828075
16,97.5,1.89653748185993,0.03643169209583504,-0.4503382482833839,0.013975843232189925,2.563535017505955,0.7837800878082911,-1.7975309097755992,1.694141976489883,0.0003422525465548107,180.5190350110085
17,112.5,1.3996376551539966,0.12875072755014697,-0.39833653884431947,0.06406890965736586,13.66253114078929,5.690424270951779,2.28379635893873,2.1767520370455,0.00025258111495939225,1001.6488524900764
18,127.5,1.2282917737320649,0.07057063507099953,-0.4041106359016244,0.04021502377655853,-0.00018580318080194434,0.29249594270428275,-0.793721746730027,1.1927216163465846,0.0002216597306897689,-0.014077777127175211
19,142.5,1.0877731747822055,0.04823027645801478,-0.336240788886454,0.029400798013584906,-0.00015099831231594056,0.9825146736934657,-0.309683417645697,0.6701356814664262,0.00019630149295974577,-0.011758784798100975
20,157.5,0.8334335537008001,0.04746732778170835,-0.3732617308182705,0.038871707394261865,-0.00037741825990534017,0.9540765032131902,1.9522190969579118,0.7092928450383522,0.00015040290996969145,-0.030081067704803077
21,187.5,0.6315718785977763,0.032605802006775084,-0.30217369011333234,0.033374749853387314,1.1987616641079737,0.7758273920965841,-1.42782635340436,1.0981984263353703,0.00011397459098488785,99.16254985475278
22,217.5,0.5501920115099028,0.021885403280323443,-0.19736497491416932,0.024030464368755236,-5.3756061503608296e-05,0.26266138130637107,-1.0900542238176034,1.2218797142388642,9.92886345956675e-05,-0.0045752055365530985
23,247.5,0.5013526232714486,0.037808391058630826,-0.28599769758750104,0.04818648462574476,0.3977313260075748,1.0150031468448113,-1.8013377806163673,1.1540548479937853,9.047499122891617e-05,34.622325944162064
24,277.5,0.4599577543348654,0.053150530454990526,-0.07847333213100806,0.06665927105084159,0.33404702624237437,0.37785787635935325,0.8638317248817838,0.9958157250603795,8.300479913234121e-05,29.614771096839565
25,307.5,0.34898225705847297,0.06522689820894889,-0.17266279268691812,0.11159617409187415,0.16528237887956315,0.8322820647333553,-0.7161403254974142,1.4211492894084825,6.29779623778241e-05,14.876226996407533
26,367.5,0.3256530338148259,0.036728836128752614,-0.042510981995954024,0.06462405824161317,1.1823390576169912,0.9551825550986994,1.2059688909272084,1.7936965599355716,5.876792901931989e-05,108.95399573446224
27,409.5,0.22722030725214756,0.05886397541412617,-0.18396642538168076,0.1553951514310697,0.5737856425494954,0.5696595025959136,-0.5746355009536317,1.478796947393738,4.100458310465257e-05,53.554059826653855
